id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v1_mvmt,39,False,12,,"(88, 4695)",F,0.6975424694659188,0.7485908034088319,0.2387740063878345,0.05843484047773,0.0628688845984455,0.0380775652588714
M42-12_v1_mvmt,42,False,12,,"(113, 4794)",F,0.1727485636553105,0.1878494489370163,0.0497934388836272,0.0289774239544997,0.0485542303052852,0.0109868088529274
M44-12_v1_mvmt,44,False,12,,"(93, 4987)",M,0.1031676272765626,0.108702735931937,0.0798076993854619,0.0839110071997754,0.1009931432837199,0.0537952295093329
M45-12_v1_mvmt,45,False,12,,"(81, 4877)",M,0.0216817680718717,0.0171674371696459,0.0690206240296345,0.1051095126152746,0.139523367922033,0.0505144942253793
M46-12_v1_mvmt,46,False,12,,"(116, 4835)",M,0.1058673118685395,0.1079522394893607,0.1044155782922862,0.0795751565735248,0.087733304458605,0.0562956932449733
M251-6_v1_mvmt,251,False,6,,"(52, 4966)",F,0.0595024052050208,0.058833698881443,0.0787407747594991,0.0891605482134804,0.1019130604675178,0.069358017505256
M254-6_v1_mvmt,254,False,6,,"(51, 4955)",M,0.1175252753339218,0.1259855807537109,0.0873901786777276,0.0792068822875031,0.0914882475100711,0.0647086960586126
M308-8_v1_mvmt,308,False,8,2.0,"(88, 7378)",F,0.066998172045083,0.0642671070387315,0.1121230231780481,0.0632099803722442,0.0639545945377178,0.061605860801394
M308-10_v1_mvmt,308,False,10,2.0,"(111, 7328)",F,0.0400575951802722,0.0366645624509173,0.0887197395463933,0.1884629098715312,0.225187002891274,0.1236068125992256
M308-12_v1_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0255690592216343,0.0207569430408497,0.0992534075021152,0.058883579697043,0.0831382039435988,0.0426550045091442
M308-14_v1_mvmt,308,False,14,2.0,"(107, 7269)",F,0.0553229085849662,0.0513986046410247,0.142621721989597,0.2159133816288381,0.243462191758452,0.1730061909769467
