id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v1_mvmt,39,False,12,,"(88, 4695)",F,0.0661339629448947,0.0653555036086766,0.0443828059219817,-1.7538873182552503,-1.7866350296176627,-1.7921883414108777
M42-12_v1_mvmt,42,False,12,,"(113, 4794)",F,-0.079049495755395,-0.1293076941285996,0.0083508426716247,-2.6264652117142324,-2.758940496176086,-2.2030069016974445
M44-12_v1_mvmt,44,False,12,,"(93, 4987)",M,0.2092875150802982,0.2405988100849861,0.1029145360552063,-0.8375511723111275,-0.908460488773105,-1.29477732291279
M45-12_v1_mvmt,45,False,12,,"(81, 4877)",M,-0.0377890241496897,-0.0539257070309972,-0.0215870073068709,-2.39420030563942,-2.346080733534608,-1.5683215923068323
M46-12_v1_mvmt,46,False,12,,"(116, 4835)",M,0.3222897682082094,0.3155761930310783,0.195190556876991,-0.8151501064324338,-0.8080382993646678,-0.9969415967311784
M251-6_v1_mvmt,251,False,6,,"(52, 4966)",F,0.0091332211799922,0.0462704775967498,-0.0362638933335333,-2.0637668813109173,-1.8281426173235449,-2.1370131876759126
M254-6_v1_mvmt,254,False,6,,"(51, 4955)",M,0.0973252499459705,0.0911498931412861,0.1011469397939316,-1.4598277960735115,-1.6568243086826322,-1.3877724757488183
M308-8_v1_mvmt,308,False,8,2.0,"(88, 7378)",F,0.2764820298608668,0.3306923454615532,0.1087732291205498,-0.8429368754189857,-0.789758820136258,-1.261704316916889
M308-10_v1_mvmt,308,False,10,2.0,"(111, 7328)",F,0.1673212360330823,0.1843941949318656,0.1356941873545734,-1.5003028926245647,-1.4680524004240498,-1.2383462062698776
M308-12_v1_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0989490216280364,0.1306818122071185,0.0626570589877302,-1.629402088987581,-1.2359486799901307,-1.530413685335965
M308-14_v1_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1381589347732307,0.1485067041188149,0.1311774647758856,-1.0317219966197873,-0.944907120624651,-1.1753428009880622
M316-8_v1_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4347668453852898,0.547577620183409,0.1634696903458484,-0.8316399312934873,-0.6140887167991305,-1.0627480664162956
M316-10_v1_mvmt,316,True,10,3.0,"(104, 7207)",F,0.2966616065631856,0.332526777207383,0.1076485030664673,-1.4058766286424826,-1.1497810455749582,-1.4012722783874865
M316-12_v1_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4104380390757367,0.4843313854521594,0.1930524747193568,-0.658606685410809,-0.442772347926987,-0.8801267461061276
M322-6_v1_mvmt,322,True,6,3.0,"(140, 7572)",M,0.3324422236668347,0.4223331559907718,0.048916939870604,-0.9956390628624444,-0.7875357612309595,-1.5763318642233048
M322-8_v1_mvmt,322,True,8,3.0,"(83, 7594)",M,0.3339388156466049,0.42827345019515,0.0465874007490432,-0.8936803936803936,-0.6785436785436786,-1.4604839604839606
M322-10_v1_mvmt,322,True,10,3.0,"(45, 7308)",M,0.2675990971733454,0.35875679605738,0.0588492835060885,-1.0290905272001678,-0.7731218931597004,-1.470629419589722
M322-12_v1_mvmt,322,True,12,3.0,"(182, 7577)",M,0.2676850044814847,0.259370541185144,0.1808270045801299,-1.0628824476650565,-1.16993200930399,-0.7910449096439435
M353-6_v1_mvmt,353,True,6,5.0,"(97, 7497)",M,0.3269591429376093,0.382600927945897,0.1251662907799469,-0.79861327031901,-0.6434923201293451,-1.0707978359554755
M353-8_v1_mvmt,353,True,8,5.0,"(109, 7400)",M,0.3283151169341783,0.4018623310168575,0.173778795722878,-0.8436628301190445,-0.859051935010428,-0.9047471912523284
M353-10_v1_mvmt,353,True,10,5.0,"(113, 7428)",M,0.3485345091540687,0.4117511788399309,0.1058355367422634,-1.0173538408513203,-0.9942441083968808,-1.1441213217870838
M361-6_v1_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3846475470769768,0.4780800091466331,0.1009078187608225,-0.9184451778511185,-0.7833975064173083,-1.1614044737807114
M365-6_v1_mvmt,365,True,6,6.0,"(87, 7428)",F,0.2557384269770136,0.3233027565820439,0.1272182153711331,-1.234143102981385,-1.042296705888519,-1.3544991570359113
M367-6_v1_mvmt,367,True,6,6.0,"(162, 7529)",F,0.3966884235139308,0.430786580926709,0.2032300103756707,-1.7254785813682352,-1.4498006694497725,-0.9791455113016664
M374-6_v1_mvmt,374,True,6,6.0,"(72, 7417)",M,0.3364604693117328,0.390562511355242,0.1271798085784419,-0.8120758508527687,-0.6996449280915522,-1.043323881778936
M374-8_v1_mvmt,374,True,8,6.0,"(68, 7125)",M,0.3826425014560814,0.4512249623870502,0.1190188815643756,-1.1108973568463023,-1.0474616681053972,-1.2764664775763557
M374-10_v1_mvmt,374,True,10,6.0,"(68, 7649)",M,0.2829742304265015,0.3077477419470166,0.1502533872670004,-1.0643443740203091,-0.9284825870646766,-0.8893971921215837
M387-6_v1_mvmt,387,True,6,7.0,"(90, 7540)",M,0.3485529873432428,0.4089603061965834,0.1609778761324664,-1.165381645884232,-1.148766274285835,-0.9455531935146112
M387-10_v1_mvmt,387,True,10,7.0,"(117, 7462)",M,0.2204143964729824,0.2479229592163957,0.1248612463045788,-1.0786621548722477,-0.8693148938257076,-1.184924721690942
M396-6_v1_mvmt,396,True,6,7.0,"(89, 7528)",F,0.2720934935137275,0.3017186668762269,0.1773651077225514,-1.2867283428292058,-1.1440740113950472,-0.875303209792971
M397-6_v1_mvmt,397,True,6,7.0,"(69, 7503)",F,0.3557842465962545,0.4513847808367157,0.0981955331655544,-1.0060628822835067,-0.7732947025789605,-1.3857799477769432
M410-6_v1_mvmt,410,True,6,9.0,"(99, 7428)",M,0.322747939371498,0.4068632322155414,0.1284462386412055,-1.0876656996397185,-1.0069232283296106,-1.1959384868167695
M410-8_v1_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3284961939553831,0.4043088466993632,0.1008070599909942,-0.8115863655482022,-0.7188645396097821,-1.1299581970660693
