id,number,GCaMP,age,cohort,monitoring_frame_range,sex
M308-8_v1,308,False,8,2,"(88, 7378)",F
M308-10_v1,308,False,10,2,"(111, 7328)",F
M308-12_v1,308,False,12,2,"(135, 7630)",F
M308-14_v1,308,False,14,2,"(107, 7269)",F
M316-8_v1,316,True,8,3,"(83, 7579)",F
M316-10_v1,316,True,10,3,"(104, 7207)",F
M316-12_v1,316,True,12,3,"(94, 7392)",F
M322-6_v1,322,True,6,3,"(140, 7572)",M
M322-8_v1,322,True,8,3,"(83, 7594)",M
M322-10_v1,322,True,10,3,"(45, 7308)",M
M322-12_v1,322,True,12,3,"(182, 7577)",M
M353-6_v1,353,True,6,5,"(97, 7497)",M
M353-8_v1,353,True,8,5,"(109, 7400)",M
M353-10_v1,353,True,10,5,"(113, 7428)",M
M361-6_v1,361,True,6,5,"(108, 7428)",F
M365-6_v1,365,True,6,6,"(87, 7428)",F
M367-6_v1,367,True,6,6,"(162, 7529)",F
M374-6_v1,374,True,6,6,"(72, 7417)",M
M374-8_v1,374,True,8,6,"(68, 7125)",M
M374-10_v1,374,True,10,6,"(68, 7649)",M
M387-6_v1,387,True,6,7,"(90, 7540)",M
M387-10_v1,387,True,10,7,"(117, 7462)",M
M396-6_v1,396,True,6,7,"(89, 7528)",F
M397-6_v1,397,True,6,7,"(69, 7503)",F
M410-6_v1,410,True,6,9,"(99, 7428)",M
M410-8_v1,410,True,8,9,"(102, 7532)",M
M410-10_v1,410,True,10,9,"(71, 7137)",M
M412-8_v1,412,True,8,9,"(135, 7515)",F
M412-10_v1,412,True,10,9,"(101, 7163)",F
M415-6_v1,415,True,6,9,"(131, 7585)",F
M415-8_v1,415,True,8,9,"(62, 7420)",F
